species,reservoir,sign,coefficient,reaction,rate_law,support,source,note
O_strat,stratosphere,sink,1.0,R2a,7.09563169e-10 * O_strat * O2_strat,printed+derived,Young Table 2; Eq. 25,Isotope-specific multiplier derived from Young reduced-mass expression.
O_strat,stratosphere,sink,1.0,R2d,7.48222234e-10 * O_strat * O18O_strat,printed+derived,Young Table 2; Eq. 25,Isotope-specific multiplier derived from Young reduced-mass expression.
O_strat,stratosphere,sink,1.0,R2e,7.51841626e-10 * O_strat * O17O_strat,printed+derived,Young Table 2; Eq. 25,Isotope-specific multiplier derived from Young reduced-mass expression.
O_strat,stratosphere,sink,1.0,R4a,4.65443042e-09 * O3_strat * O_strat,printed+derived,Young Table 2; Eq. 25,Isotope-specific multiplier derived from Young reduced-mass expression.
O_strat,stratosphere,sink,1.0,R4b,4.63104499e-09 * OO18O_strat * O_strat,printed+derived,Young Table 2; Eq. 25,Isotope-specific multiplier derived from Young reduced-mass expression.
O_strat,stratosphere,sink,1.0,R4c,4.64248880e-09 * OO17O_strat * O_strat,printed+derived,Young Table 2; Eq. 25,Isotope-specific multiplier derived from Young reduced-mass expression.
O_strat,stratosphere,sink,1.0,R6b,6.71788189e-11 * O18O_strat * O_strat,printed+derived,Young Table 2; Eq. 25,Isotope-specific multiplier derived from Young reduced-mass expression.
O_strat,stratosphere,sink,1.0,R6d,6.75037845e-11 * O17O_strat * O_strat,printed+derived,Young Table 2; Eq. 25,Isotope-specific multiplier derived from Young reduced-mass expression.
O_strat,stratosphere,source,2.0,R1a,3.49973784e-05 * O2_strat,printed,Young Table 2,O2 + hv -> O + O
O_strat,stratosphere,source,1.0,R1b,3.49973784e-05 * O17O_strat,printed,Young Table 2,O17O + hv -> O + 17O
O_strat,stratosphere,source,1.0,R1c,3.49973784e-05 * O18O_strat,printed,Young Table 2,O18O + hv -> O + 18O
O_strat,stratosphere,source,1.0,R3a,9.34104960e+03 * O3_strat,printed,Young Table 2,O3 + hv -> O2 + O
O_strat,stratosphere,source,1.0,R3c,6.22736640e+03 * OO18O_strat,printed,Young Table 2,OO18O + hv -> O18O + O
O_strat,stratosphere,source,1.0,R3e,6.22736640e+03 * OO17O_strat,printed,Young Table 2,OO17O + hv -> O17O + O
O_strat,stratosphere,source,2.0,R4k,8.14186080e-05 * O3_strat * O1D_strat,printed+derived,Young Table 2; Eq. 25,Isotope-specific multiplier derived from Young reduced-mass expression.
O_strat,stratosphere,source,1.0,R4l,4.05047667e-05 * OO18O_strat * O1D_strat,printed+derived,Young Table 2; Eq. 25,Isotope-specific multiplier derived from Young reduced-mass expression.
O_strat,stratosphere,source,2.0,R4m,4.05047667e-05 * OO18O_strat * O1D_strat,printed+derived,Young Table 2; Eq. 25,Isotope-specific multiplier derived from Young reduced-mass expression.
O_strat,stratosphere,source,1.0,R4n,4.06048583e-05 * OO17O_strat * O1D_strat,printed+derived,Young Table 2; Eq. 25,Isotope-specific multiplier derived from Young reduced-mass expression.
O_strat,stratosphere,source,2.0,R4o,4.06048583e-05 * OO17O_strat * O1D_strat,printed+derived,Young Table 2; Eq. 25,Isotope-specific multiplier derived from Young reduced-mass expression.
O_strat,stratosphere,source,1.0,R4p,3.89723478e-05 * O3_strat * O18_1D_strat,printed+derived,Young Table 2; Eq. 25,Isotope-specific multiplier derived from Young reduced-mass expression.
O_strat,stratosphere,source,2.0,R4q,3.89723478e-05 * O3_strat * O18_1D_strat,printed+derived,Young Table 2; Eq. 25,Isotope-specific multiplier derived from Young reduced-mass expression.
