table,row,core_id,top_depth_m,ar_age_ka,excluded_from_pristine_co2_dataset,measured_co2_ppm,delta13c_permil,delta15n_permil,delta_o2_n2_permil,delta_ar_n2_permil,cap_delta17_rep1_ppm,cap_delta17_rep2_ppm,cap_delta17_average_ppm,reconstructed_co2_ppm,source_note
S1,1,ALHIC1901,140.955,545,no,251.3,,0.072,-6.871,-7.521,36.60555219161876,,36.60555219161876,207.531198648277,
S1,2,ALHIC1901,140.35,604.1,no,248.5,-6.35,0.072,-11.263,-7.653,31.465360000000004,,31.465360000000004,215.823931007278,
S1,3,ALHIC1901,140.08,628.3,no,259.6,,0.088,-6.066,-6.762,23.75339999999998,,23.75339999999998,228.263836074894,
S1,4,ALHIC1901,136.575,705,no,254.1,,0.072,-8.65,-8.87,28.75328983188202,,28.75328983188202,220.198544926284,
S1,5,ALHIC1901,143.03,773.3,no,229,,0.076,,,32.15239999999994,,29.41639999999998,219.129087319978,"Archive replicate/average inconsistency: rep1 is 32.1524 ppm, rep2 is absent, average is 29.4164 ppm"
S1,6,ALHIC1901,141.625,879,yes,290.5,-9.02,0.081,-9.94,-8.57,23.58192404384904,,23.58192404384904,228.539669032176,
S1,7,ALHIC1901,144.285,1043,no,237.8,,0.093,-13.18,-10.79,31.422479526701824,,31.422479526701824,215.893292511156,
S1,8,ALHIC1901,150.945,1158,no,235.3,,0.098,-12.429,-8.082,29.288072189008197,31.15611963218029,30.22209591059424,217.828962386822,
S1,9,ALHIC1901,154.845,1163,yes,344,-12.1,0.0747,,,27.30729769523507,,27.30729769523507,222.531027126462,
S1,10,ALHIC1901,145.37,1309.6,no,226.1,,0.091,-11.435,-8.471,22.897400000000026,,22.897400000000026,229.644613919536,
S1,11,ALHIC1901,144.415,1429,no,228.4,,0.1,-15.8,-9.2,28.016860451654356,,28.016860451654356,221.385755783359,
S1,12,ALHIC1901,152.265,1507,yes,555.3,,0.1,-38,-9.3,26.576360042528393,,26.576360042528393,223.710172692389,
S1,13,ALHIC1901,144.85,1623.7,no,228.8,-6.15,0.092,-11.427,-9.391,21.160999999999998,,21.160999999999998,232.444883006333,
S1,14,ALHIC1901,157.125,1712,yes,745,-21,0.0663,,,23.075627321025028,,23.075627321025028,229.355876496416,
S1,15,ALHIC1901,152.67,1847.4,yes,659,-18.06,0.071,-38.59,-10.72,19.16040000000002,,19.16040000000002,235.672612524007,
S1,16,ALHIC1901,151.945,2009,yes,268.9,-9.34,0.078,-26.62,-10.81,17.92983991877206,,17.92983991877206,237.656674146565,
S1,17,ALHIC1901,148.645,2016,no,245.3,,0.094,-26.5,-12.18,25.72932263659927,,25.72932263659927,225.076433012963,
S1,18,ALHIC1901,143.63,2299,no,223.7,,0.0847,,,30.43644955171392,23.573464589540627,27.004957070627274,223.018170711838,
S1,19,ALHIC1901,153.035,2606,yes,513,-15.5,0.072,,,32.24746992174707,,32.24746992174707,214.562519471635,
S1,20,ALHIC1901,158.75,2684.4,yes,975.6,-23.49,0.1,-93.6,-13.99,14.923999999999937,,14.923999999999937,242.50552718511,
S1,21,ALHIC1901,159.295,2765,yes,1445.3,-24.96,0.1,-304.1,-21.7,-25.873132531641918,-24.224000000000025,-25.048566265820973,,Extreme altered sample excluded by Banerjee et al.; reconstructed CO2 is N/A
S2,1,ALHIC1503,128.64,790,no,253.8,,0.086,-5.848,,,,37,216.7864,
S2,2,ALHIC1503,130.03,725,no,256.25,,0.103,-7.259,,,,14,241.769,
S2,3,ALHIC1503,133.26,943,no,229.95,-6.15,0.056,-8.166,,,,31,223.3036,
S2,4,ALHIC1503,135.13,1639,no,225.32,,0.097,-6.983,,,,28,226.5622,
S2,5,ALHIC1503,138.25,2025,no,227.25,,0.058,-7.429,,,,19,236.338,
S2,6,ALHIC1503,143.63,1610,yes,1265.86,,0.061,-47.556,,,,25,229.8208,
S2,7,ALHIC1503,145.28,2010,yes,576.48,,0.071,-24.74,,,,23,231.9932,
S2,8,ALHIC1502,177.87,1380,no,223.04,,0.069,-0.836,,,,30,224.38979999999998,
S2,9,ALHIC1502,178.78,1380,no,219.21,,0.101,-2.864,,,,25,229.8208,
S2,10,ALHIC1502,184.2,1900,no,241.2,,0.103,-18.996,,,,13,242.8552,
S2,11,ALHIC1502,186.11,2260,yes,297.94,,0.106,-30.294,,,,27,227.64839999999998,
S2,12,ALHIC1502,189.95,880,no,263.09,,0.063,-2.996,,,,21,234.16559999999998,
