depth_ice_m,gas_age_ka_bp,cap_delta17_modern_air_relative_ppm
2735.81,405.743,4.7
2736.98,406.139,3.3
2738.08,406.512,7.4
2739.28,406.919,21.9
2740.21,407.229,2.9
2741.38,407.625,21.1
2742.60,408.045,19.1
2743.58,408.394,25.6
2744.60,408.758,3.0
2745.83,409.196,17.7
2746.88,409.566,19.7
2748.00,409.991,-1.2
2749.01,410.389,16.7
2750.18,410.865,7.3
2751.28,411.311,20.3
2752.38,411.764,31.6
2753.41,412.218,20.1
2754.58,412.735,27.1
2755.74,413.246,7.9
2756.78,413.699,4.2
2757.81,414.142,22.9
2759.06,414.682,13.6
2760.02,415.110,9.1
2761.23,415.662,25.0
2762.27,416.139,12.9
2763.39,416.657,26.2
2764.48,417.162,27.7
2765.58,417.674,13.2
2766.71,418.207,18.6
2767.78,418.728,28.2
2768.90,419.283,34.7
2769.98,419.828,23.6
2771.01,420.356,33.6
2772.24,421.000,19.3
2773.28,421.575,51.3
2774.38,422.199,29.4
2775.41,422.794,23.2
2776.58,423.495,17.8
2779.86,425.391,28.7
2780.98,426.038,41.0
2782.22,426.798,39.0
2785.32,429.228,33.9
2786.48,430.377,42.9
2787.58,431.632,39.6
2788.72,433.057,44.4
2791.02,436.280,46.9
2791.98,437.643,49.6
2793.01,439.121,45.5
2794.20,440.832,34.4
2796.47,444.114,37.8
