year_ce,prepared_fig7_month_count,prepared_fig7_annual_mean_ppm,prepared_fig7_change_from_2013_ppm,raw_included_month_count,raw_valid_point_count,raw_equal_month_annual_mean_ppm,raw_equal_month_change_from_2013_ppm,raw_point_weighted_annual_mean_ppm,raw_point_weighted_change_from_2013_ppm
2013,12,5.938333333,0.000000000,12,260505,5.939286984,0.000000000,5.891203739,0.000000000
2014,10,4.849000000,-1.089333333,10,267109,4.848716904,-1.090570080,4.847671924,-1.043531815
2015,12,5.353333333,-0.585000000,12,310842,5.353262359,-0.586024626,5.357690434,-0.533513305
2016,11,5.351818182,-0.586515152,11,289429,5.352387093,-0.586899892,5.383306441,-0.507897298
2017,12,6.827500000,0.889166667,12,317120,6.828069403,0.888782418,6.884093750,0.992890011
2018,12,6.480000000,0.541666667,12,332323,6.589442383,0.650155398,6.653979472,0.762775733
2019,12,6.175000000,0.236666667,12,275361,6.176754561,0.237467577,6.140702823,0.249499084
2020,11,7.457272727,1.518939394,11,239019,7.457859672,1.518572688,7.409656262,1.518452523
2021,12,6.896666667,0.958333333,12,244922,6.896725275,0.957438290,6.582725602,0.691521864
2022,12,7.883333333,1.945000000,12,261306,7.886917029,1.947630045,7.886258142,1.995054403
