depth_ice_m,gas_age_ka_bp,cap_delta17_modern_air_relative_ppm,cap_delta17_1sigma_ppm
965.52,58.016,37,10
988.62,59.978,28,7
998.52,61.015,24,2
1008.42,61.971,46,4
1018.32,63.013,45,9
1027.12,64.015,22,0
1038.12,65.020,19,11
1050.77,66.946,17,9
1057.92,68.015,30,10
1075.52,69.983,43,4
1099.72,72.005,24,8
1129.42,75.001,22,9
1142.62,76.051,31,10
1149.77,77.008,19,0
1158.02,77.992,11,0
1180.57,80.014,14,0
1206.97,81.993,0,3
1220.72,83.015,25,13
1235.57,83.990,22,8
1248.77,85.027,29,12
1259.22,85.989,29,15
1270.22,87.025,20,1
1279.57,88.002,32,1
1288.35,89.004,22,1
1298.27,89.994,27,0
1308.72,90.978,24,5
1317.52,92.017,23,7
1327.97,93.003,30,2
1352.17,95.001,26,7
1397.82,98.988,19,3
1452.27,104.003,13,5
1490.22,107.996,48,10
1549.62,114.989,26,13
1594.17,118.984,2,12
1619.47,120.997,-11,6
1644.22,122.993,33,4
1670.62,124.986,29,11
1785.02,135.011,46,16
1810.87,140.256,57,0
1832.72,145.010,52,7
1856.52,149.981,45,3
2254.17,233.185,40,1
2261.32,234.940,36,12
2276.17,238.076,14,10
2797.57,445.586,50,3
2798.67,446.948,25,6
2800.87,449.321,37,7
2802.39,450.830,49,2
2804.67,452.962,26,0
2806.85,455.101,37,1
2809.67,457.957,25,6
2811.87,460.019,29,4
2814.07,462.164,23,16
2815.72,463.821,28,3
2815.94,464.033,47,7
2817.92,465.879,34,4
2820.67,468.614,16,7
2822.55,470.609,34,18
2824.75,472.768,23,2
2830.02,477.225,7,5
2830.07,477.266,12,9
2833.32,480.038,38,4
2834.65,481.185,10,9
2837.17,483.209,5,4
2839.05,484.540,6,0
2842.67,486.968,15,5
2844.32,488.047,25,4
2847.07,489.860,0,18
2848.95,491.076,9,15
2851.15,492.487,12,16
2852.57,493.430,25,3
2855.32,495.214,33,5
2857.74,496.787,18,1
2859.95,498.337,18,13
2861.92,499.746,0,14
2862.14,499.898,39,14
2866.55,503.010,4,3
2868.75,504.527,14,7
2870.95,506.056,12,0
2873.15,507.700,11,10
2874.57,508.753,26,7
2877.32,510.896,22,4
2877.53,511.058,41,5
2879.75,512.769,14,4
2881.72,514.259,21,7
