co2_ppmv,gpp_percent,d17o_o2_permil
94,51.968504,-0.356526
94,52.376586,-0.355923
94,52.784669,-0.355329
94,53.192752,-0.354743
94,53.600834,-0.354165
94,54.008917,-0.353595
94,54.416999,-0.353032
94,54.825082,-0.352478
94,55.233164,-0.351930
94,55.641247,-0.351391
94,56.049329,-0.350858
94,56.457412,-0.350333
94,56.865495,-0.349815
94,57.273577,-0.349305
94,57.681660,-0.348801
94,58.089742,-0.348304
94,58.497825,-0.347814
94,58.905907,-0.347330
94,59.313990,-0.346853
94,59.722072,-0.346383
94,60.130155,-0.345919
94,60.538238,-0.345462
94,60.946320,-0.345010
94,61.354403,-0.344565
94,61.762485,-0.344126
94,62.170568,-0.343693
94,62.578650,-0.343265
94,62.986733,-0.342844
94,63.394815,-0.342428
94,63.802898,-0.342018
94,64.210980,-0.341613
94,64.619063,-0.341214
94,65.027146,-0.340820
94,65.435228,-0.340432
94,65.843311,-0.340049
94,66.251393,-0.339670
94,66.659476,-0.339297
94,67.067558,-0.338929
94,67.475641,-0.338566
94,67.883723,-0.338207
94,68.291806,-0.337854
94,68.699889,-0.337504
94,69.107971,-0.337160
94,69.516054,-0.336820
94,69.924136,-0.336484
94,70.332219,-0.336153
94,70.740301,-0.335826
94,71.148384,-0.335503
94,71.556466,-0.335184
94,71.964549,-0.334870
94,72.372632,-0.334559
94,72.780714,-0.334252
94,73.188797,-0.333950
94,73.596879,-0.333651
94,74.004962,-0.333355
94,74.413044,-0.333063
94,74.821127,-0.332775
94,75.229209,-0.332491
94,75.637292,-0.332209
94,76.045374,-0.331932
94,76.453457,-0.331657
94,76.861540,-0.331386
94,77.269622,-0.331118
94,77.677705,-0.330853
94,78.085787,-0.330591
94,78.493870,-0.330332
94,78.901952,-0.330076
94,79.310035,-0.329824
94,79.718117,-0.329573
94,80.126200,-0.329326
94,80.534283,-0.329081
94,80.942365,-0.328840
94,81.350448,-0.328600
94,81.758530,-0.328363
94,82.166613,-0.328129
94,82.574695,-0.327897
94,82.982778,-0.327668
94,83.390860,-0.327441
94,83.798943,-0.327216
94,84.207025,-0.326994
94,84.615108,-0.326774
94,85.023191,-0.326555
94,85.431273,-0.326339
94,85.839356,-0.326125
94,86.247438,-0.325914
94,86.655521,-0.325704
94,87.063603,-0.325496
94,87.471686,-0.325289
94,87.879768,-0.325085
94,88.287851,-0.324883
94,88.695934,-0.324682
94,89.104016,-0.324483
94,89.512099,-0.324285
94,89.920181,-0.324090
94,90.328264,-0.323896
94,90.736346,-0.323703
94,91.144429,-0.323512
94,91.552511,-0.323322
94,91.960594,-0.323134
94,92.368677,-0.322948
94,92.776759,-0.322762
94,93.184842,-0.322578
94,93.592924,-0.322396
94,94.001007,-0.322214
94,94.409089,-0.322034
94,94.817172,-0.321855
94,95.225254,-0.321677
94,95.633337,-0.321501
94,96.041419,-0.321325
94,96.449502,-0.321151
94,96.857585,-0.320978
94,97.265667,-0.320805
94,97.673750,-0.320634
94,98.081832,-0.320464
94,98.489915,-0.320295
94,98.897997,-0.320126
94,99.306080,-0.319959
94,99.714162,-0.319792
94,100.122245,-0.319627
94,100.530328,-0.319462
94,100.938410,-0.319298
94,101.346493,-0.319135
94,101.754575,-0.318973
94,102.162658,-0.318811
94,102.570740,-0.318651
94,102.978823,-0.318491
