GPP_percent_modern,pCO2_ppmv,D17O_permil
100,294.0,-0.41
100,409.252669039146,-0.4664824318989341
100,527.876631079478,-0.5153967627319384
100,646.5005931198101,-0.5728780102645086
100,765.1245551601423,-0.6240031583103041
100,883.7485172004747,-0.6742992499013027
100,1002.3724792408068,-0.7262534544018949
100,1120.996441281139,-0.7762731938412948
100,1239.620403321471,-0.8298855112514805
100,1358.2443653618031,-0.8793525463876826
100,1476.8683274021353,-0.9299249901302803
100,1595.4922894424674,-0.9810501381760759
100,1714.1162514827997,-1.03245163837347
100,1832.7402135231318,-1.0808132649032767
100,1951.364175563464,-1.133043821555468
100,2069.988137603796,-1.1800236873272798
100,2188.612099644128,-1.2311488353730753
100,2307.2360616844603,-1.2803395183576787
100,2425.8600237247924,-1.3350572443742599
100,2544.4839857651245,-1.3831425187524675
100,2663.1079478054567,-1.4312277931306752
100,2781.731909845789,-1.481247532570075
100,2906.2870699881373,-1.5355130459749489
100,3024.91103202847,-1.5844190025003289
100,3137.603795966785,-1.627990525069088
100,3256.2277580071172,-1.6780102645084878
100,3374.85172004745,-1.7238847216739046
100,3493.475682087782,-1.7733517568101065
100,3612.099644128114,-1.8203316225819186
100,3730.7236061684466,-1.868969601263324
100,3849.3475682087783,-1.9167785234899326
100,3967.9715302491104,-1.9643110935649428
100,4086.5954922894425,-2.0112909593367547
100,4205.2194543297755,-2.060205290169759
100,4323.843416370106,-2.107737860244769
100,4442.467378410439,-2.1536123174101856
100,4561.091340450771,-2.201697591788393
100,4679.715302491104,-2.247295696802211
100,4798.339264531436,-2.2948282668772206
100,4916.963226571768,-2.3404263718910383
100,5035.5871886121,-2.3893407027240423
100,5154.2111506524325,-2.4330043426766674
100,5272.835112692765,-2.4833004342676666
100,5391.459074733097,-2.5266877220686936
100,5510.083036773428,-2.5739439399921045
100,5628.706998813761,-2.619542045005922
100,5753.2621589561095,-2.665542116785702
100,5877.817319098458,-2.7143308330043423
100,5996.44128113879,-2.7599289380181604
100,6109.134045077106,-2.803746106943896
100,6221.8268090154215,-2.84504540071062
100,6340.450771055754,-2.8928543229372288
100,6459.074733096086,-2.9354125542834586
100,6577.698695136418,-2.9821160679036716
100,6696.32265717675,-3.0243979470983025
100,6814.946619217082,-3.06999605211212
100,6933.570581257414,-3.11255428345835
100,7052.194543297746,-3.158705092775365
100,7170.8185053380785,-3.200710619818397
100,7289.442467378411,-3.2446506119226215
100,7408.066429418742,-3.2891433083300434
100,7526.690391459076,-3.330319778918278
100,7645.314353499407,-3.3761942360836956
100,7763.938315539739,-3.4215159889459144
100,7882.56227758007,-3.4640742202921437
100,8001.186239620404,-3.504421634425582
100,8119.810201660735,-3.549190682984603
100,8238.434163701068,-3.590919857876036
100,8357.0581257414,-3.6334780892222662
100,8475.682087781732,-3.6746545598105014
100,8594.306049822064,-3.7158310303987365
100,8712.930011862396,-3.7572838531385706
100,8831.553973902728,-3.7987366758784047
100,8950.177935943062,-3.841294907224635
100,9068.801897983392,-3.883853138570865
100,9187.425860023726,-3.926687722068693
100,9306.049822064057,-3.966482431898934
100,9424.67378410439,-4.009317015396762
100,9543.29774614472,-4.049388077378602
100,9661.921708185053,-4.091946308724832
100,9780.545670225385,-4.1333991314646665
100,9899.169632265719,-4.172917489143308
100,10017.79359430605,-4.21271219897355
100,10136.417556346381,-4.252506908803791
100,10255.041518386714,-4.2911962100276355
100,10373.665480427047,-4.332372680615871
100,10492.28944246738,-4.370509277536518
100,10610.91340450771,-4.411133043821556
100,10729.537366548044,-4.452862218712989
100,10848.161328588376,-4.490998815633636
100,10966.785290628706,-4.531346229767074
100,11085.40925266904,-4.571417291748913
100,11209.964412811389,-4.613824785557908
100,11328.58837485172,-4.649778479624512
100,11441.281138790035,-4.689419660481642
100,11565.836298932385,-4.725119333883644
100,11684.460260972717,-4.765539325349827
100,11803.08422301305,-4.804507770161146
100,11921.708185053381,-4.841996753958855
100,12040.332147093712,-4.879625309550299
100,12158.956109134046,-4.91784006667544
100,12271.648873072361,-4.953335965258587
100,12390.272835112693,-4.993407027240427
100,12508.896797153026,-5.029609159099882
100,12627.520759193358,-5.066087643110936
100,12746.14472123369,-5.105882352941177
100,12864.768683274024,-5.138768258981445
100,12983.392645314354,-5.1780102645084884
100,13107.947805456703,-5.215518788357319
100,13226.571767497035,-5.250383822432776
100,13339.264531435349,-5.2846821950256615
100,13457.888493475682,-5.320331622581919
100,13576.512455516015,-5.358468219502567
100,13695.136417556347,-5.393288590604027
100,13813.760379596677,-5.43031977891828
100,13932.384341637011,-5.464863797868141
100,14051.008303677343,-5.500789577575998
100,14169.632265717675,-5.535333596525859
100,14288.256227758005,-5.571259376233715
100,14406.88018979834,-5.60746150809317
100,14525.504151838672,-5.641729174891433
100,14644.128113879002,-5.674338728780102
100,14762.752075919338,-5.708330043426767
100,14881.376037959668,-5.743150414528228
100,15000.000000000004,-5.778247137781286
100,15118.623962040332,-5.81251480457955
100,15237.247924080662,-5.846506119226214
100,15355.871886120998,-5.881879194630873
100,15474.495848161328,-5.914765100671141
100,15593.119810201659,-5.9490327674694035
100,15711.743772241995,-5.98247137781287
100,15830.367734282325,-6.015909988156336
100,15954.922894424673,-6.048846140042349
100,16073.546856465005,-6.084353204368996
100,16186.23962040332,-6.113738649822345
100,16304.863582443655,-6.147729964469009
100,16423.487544483985,-6.179510461902882
100,16542.111506524314,-6.212120015791551
100,16660.73546856465,-6.245282273983419
100,16779.35943060498,-6.2778918278720885
100,16897.983392645318,-6.308566916699567
100,17016.607354685646,-6.342005527043031
100,17135.231316725978,-6.373233320173706
100,17253.855278766314,-6.402803000394789
100,17372.479240806642,-6.437070667193052
100,17491.10320284697,-6.464153178049744
100,17609.727164887307,-6.495933675483616
100,17728.35112692764,-6.52743782076589
100,17846.97508896797,-6.558112909593367
100,17965.599051008303,-6.589064350572444
100,18084.223013048635,-6.620292143703118
100,18202.84697508897,-6.648203711014607
100,18321.4709371293,-6.678878799842084
100,18440.094899169628,-6.7101065929727595
100,18558.718861209964,-6.740505329648639
100,18677.342823250296,-6.7703513620213185
100,18795.96678529063,-6.800197394393999
100,18914.59074733096,-6.8300434267666805
100,19033.214709371292,-6.859336754836162
100,19151.838671411628,-6.88752467429925
100,19270.462633451956,-6.915159889459138
100,19389.086595492285,-6.944453217528623
100,19507.71055753262,-6.97264113699171
100,19626.334519572953,-7.001934465061192
100,19744.958481613285,-7.031504145282274
100,19863.582443653617,-7.05748124753257
100,19982.20640569395,-7.087603632056849
100,20100.830367734285,-7.113857086458745
100,20219.454329774617,-7.1423213580734295
100,20338.078291814945,-7.166363995262534
100,20456.702253855277,-7.196486379786814
100,20575.32621589561,-7.224397947098302
100,20693.950177935945,-7.2528622187129885
100,20812.574139976274,-7.279392025266482
100,20931.198102016606,-7.308132649032767
100,21049.82206405694,-7.333557046979867
100,21168.44602609727,-7.359257797078563
